best_dev_sent_f1,best_dev_act_f1,best_test_sent_f1,best_test_act_f1,best_dev_test_sent_f1,best_dev_test_act_f1,learning rate,l2,dropout,hidden_dim,batch size,num_base,stack_num,margin_coefficient,random_wordvec
41.396,0.0,49.062,79.611,47.171,79.611,0.001,1e-08,0.07,300,32,-1,3,0.0,True
41.636,77.833,46.935,79.059,46.477,79.059,0.001,1e-08,0.07,300,32,-1,3,1e-06,True
39.577,78.145,46.869,79.105,45.982,78.854,0.001,1e-08,0.07,300,32,-1,3,1e-05,True
40.808,77.67,47.151,79.082,46.104,79.082,0.001,1e-08,0.07,300,32,-1,3,0.0001,True
41.156,78.463,47.535,79.137,45.887,77.979,0.001,1e-08,0.07,300,32,-1,3,0.001,True
38.82,0.0,45.642,79.277,43.359,79.243,0.001,1e-08,0.07,256,16,-1,1,0.0,True
39.704,78.433,47.21,79.196,47.21,78.936,0.001,1e-08,0.1,256,16,-1,1,0.0,True
41.486,77.964,47.818,79.448,42.994,79.431,0.001,1e-08,0.07,256,16,-1,2,0.0,True
40.348,78.795,46.685,79.37,44.917,78.775,0.001,1e-08,0.07,256,16,-1,3,0.0,True
40.532,78.365,48.554,79.004,46.25,78.533,0.001,1e-08,0.1,256,16,-1,2,0.0,True
42.913,77.385,47.231,79.288,44.358,79.288,0.001,1e-08,0.14,256,16,-1,2,0.0,True
40.106,78.58,48.378,79.711,46.371,79.649,0.001,1e-08,0.14,256,16,-1,1,0.0,True
42.227,78.436,48.89,79.659,45.254,79.137,0.001,1e-08,0.1,256,16,-1,3,0.0,True
42.052,78.459,48.005,79.613,45.603,79.611,0.001,1e-08,0.14,256,16,-1,3,0.0,True
39.885,76.708,46.268,80.059,44.261,79.439,0.001,1e-08,0.2,256,16,-1,2,0.0,True
45.579,78.759,49.376,79.475,47.584,78.992,0.001,1e-08,0.2,256,16,-1,3,0.0,True
40.51,0.0,49.248,79.202,47.289,79.202,0.001,1e-08,0.2,256,16,-1,1,0.0,True
41.433,79.205,48.713,79.898,46.184,79.898,0.001,1e-08,0.3,256,16,-1,1,0.0,True
40.76,77.896,47.558,79.17,45.434,78.821,0.001,1e-08,0.07,256,16,-1,1,1e-07,True
42.475,79.294,49.607,80.069,47.046,79.439,0.001,1e-08,0.3,256,16,-1,3,0.0,True
40.507,79.191,48.308,80.044,45.698,79.716,0.001,1e-08,0.3,256,16,-1,2,0.0,True
40.188,78.244,48.896,79.392,45.258,79.359,0.001,1e-08,0.07,256,16,-1,2,1e-07,True
41.124,78.659,47.92,79.024,44.24,78.276,0.001,1e-08,0.1,256,16,-1,1,1e-07,True
39.318,78.736,47.688,79.503,43.781,79.007,0.001,1e-08,0.1,256,16,-1,2,1e-07,True
42.233,0.0,46.455,79.457,43.924,79.457,0.001,1e-08,0.07,256,16,-1,3,1e-07,True
42.417,0.0,48.39,79.506,46.96,79.013,0.001,1e-08,0.1,256,16,-1,3,1e-07,True
42.121,78.357,48.397,79.522,47.126,79.519,0.001,1e-08,0.14,256,16,-1,2,1e-07,True
40.414,77.897,47.909,79.216,45.63,79.131,0.001,1e-08,0.14,256,16,-1,1,1e-07,True
42.822,0.0,47.402,79.544,45.384,79.092,0.001,1e-08,0.14,256,16,-1,3,1e-07,True
41.65,0.0,48.414,79.645,48.414,79.645,0.001,1e-08,0.2,256,16,-1,1,1e-07,True
40.972,78.736,47.862,80.001,44.379,80.001,0.001,1e-08,0.3,256,16,-1,1,1e-07,True
44.96,77.945,46.572,79.444,42.617,79.356,0.001,1e-08,0.2,256,16,-1,3,1e-07,True
41.082,78.692,45.648,80.13,45.494,79.664,0.001,1e-08,0.2,256,16,-1,2,1e-07,True
44.302,78.8,49.643,80.067,47.354,79.87,0.001,1e-08,0.3,256,16,-1,2,1e-07,True
39.864,78.473,47.411,79.211,43.375,78.703,0.001,1e-08,0.07,256,16,-1,1,1e-06,True
41.245,0.0,46.717,79.754,44.757,79.754,0.001,1e-08,0.07,256,16,-1,2,1e-06,True
45.391,78.68,48.151,80.257,46.777,79.772,0.001,1e-08,0.3,256,16,-1,3,1e-07,True
41.263,78.735,47.939,79.091,45.96,79.015,0.001,1e-08,0.07,256,16,-1,3,1e-06,True
42.241,78.169,47.908,79.449,42.015,79.008,0.001,1e-08,0.1,256,16,-1,2,1e-06,True
42.143,0.0,48.104,78.962,45.021,78.962,0.001,1e-08,0.1,256,16,-1,1,1e-06,True
42.824,78.952,46.5,78.92,45.047,78.896,0.001,1e-08,0.1,256,16,-1,3,1e-06,True
41.352,78.423,49.057,79.773,48.263,79.16,0.001,1e-08,0.14,256,16,-1,1,1e-06,True
43.05,78.51,46.973,79.294,44.89,78.902,0.001,1e-08,0.14,256,16,-1,3,1e-06,True
44.615,78.989,47.459,80.007,44.822,79.397,0.001,1e-08,0.2,256,16,-1,1,1e-06,True
40.414,78.578,47.232,79.898,44.807,79.382,0.001,1e-08,0.14,256,16,-1,2,1e-06,True
41.441,77.479,46.449,79.357,45.993,79.328,0.001,1e-08,0.2,256,16,-1,2,1e-06,True
40.847,79.107,47.492,80.156,47.353,79.629,0.001,1e-08,0.3,256,16,-1,1,1e-06,True
41.2,78.832,49.287,79.783,45.815,79.499,0.001,1e-08,0.3,256,16,-1,2,1e-06,True
43.16,78.006,48.641,79.599,45.731,79.366,0.001,1e-08,0.2,256,16,-1,3,1e-06,True
42.565,78.396,48.23,79.896,45.75,79.842,0.001,1e-08,0.3,256,16,-1,3,1e-06,True
