best_dev_sent_f1,best_dev_act_f1,best_test_sent_f1,best_test_act_f1,best_dev_test_sent_f1,best_dev_test_act_f1,learning rate,l2,dropout,hidden_dim,batch size,num_base,stack_num,margin_coefficient
42.335,77.212,51.29,77.408,47.197,77.408,0.001,0.0,0.5,300,32,-1,3,1
43.655,77.304,50.455,77.681,48.439,77.572,0.001,1e-06,0.5,300,32,-1,3,1
42.972,77.081,49.01,77.514,46.383,76.826,0.001,1e-07,0.5,300,32,-1,3,1
41.497,71.577,49.083,77.006,49.083,76.586,0.003,1e-08,0.5,300,32,-1,3,1
43.341,76.835,50.324,77.33,47.332,77.183,0.001,1e-08,0.5,300,32,-1,3,1
41.219,75.689,48.591,77.373,48.591,77.373,0.003,1e-09,0.5,300,32,-1,3,1
43.528,77.008,50.513,77.492,50.224,77.044,0.001,1e-09,0.5,300,32,-1,3,1
41.756,75.577,48.187,76.578,45.471,76.023,0.004,0.0,0.5,300,32,-1,3,1
42.624,76.054,49.525,77.522,49.525,76.889,0.002,0.0,0.5,300,32,-1,3,1
39.697,76.178,48.187,76.686,45.861,76.225,0.004,1e-06,0.5,300,32,-1,3,1
40.919,75.791,41.4,77.135,39.545,75.813,0.004,1e-07,0.5,300,32,-1,3,1
42.39,76.353,50.066,77.249,49.367,77.249,0.002,1e-06,0.5,300,32,-1,3,1
39.408,75.221,44.119,76.535,41.753,75.68,0.004,1e-08,0.5,300,32,-1,3,1
41.152,75.841,51.015,76.975,48.713,76.912,0.002,1e-07,0.5,300,32,-1,3,1
43.659,75.535,47.043,76.544,44.962,75.743,0.004,1e-09,0.5,300,32,-1,3,1
41.683,76.411,50.437,76.95,50.437,76.277,0.002,1e-08,0.5,300,32,-1,3,1
34.027,73.718,47.378,75.549,43.87,74.791,0.005,0.0,0.5,300,32,-1,3,1
42.717,77.199,49.939,77.184,48.128,76.524,0.002,1e-09,0.5,300,32,-1,3,1
39.512,74.384,45.8,76.648,42.897,76.648,0.005,1e-06,0.5,300,32,-1,3,1
40.187,72.412,49.412,76.732,47.182,76.732,0.003,0.0,0.5,300,32,-1,3,1
36.867,75.429,39.2,76.089,36.976,74.97,0.005,1e-07,0.5,300,32,-1,3,1
42.596,76.799,48.482,77.241,46.099,75.275,0.003,1e-06,0.5,300,32,-1,3,1
37.27,74.822,38.812,75.766,38.812,74.17,0.005,1e-08,0.5,300,32,-1,3,1
