best_dev_sent_f1,best_dev_act_f1,best_test_sent_f1,best_test_act_f1,best_dev_test_sent_f1,best_dev_test_act_f1,learning rate,l2,dropout,hidden_dim,batch size,num_base,stack_num,margin_coefficient
64.677,49.653,55.926,61.41,54.499,60.334,0.001,0.0,0.5,300,16,-1,3,1
60.342,70.399,51.936,60.943,51.936,58.602,0.001,1e-06,0.5,300,16,-1,3,1
63.47,68.777,53.142,60.533,51.348,59.904,0.001,1e-07,0.5,300,16,-1,3,1
62.742,69.651,55.346,61.099,55.346,60.181,0.001,1e-08,0.5,300,16,-1,3,1
66.667,73.44,54.977,61.146,54.977,58.31,0.001,1e-09,0.5,300,16,-1,3,1
63.575,68.968,54.816,60.292,51.36,59.955,0.002,0.0,0.5,300,16,-1,3,1
57.682,64.178,49.028,58.055,49.028,57.897,0.002,1e-06,0.5,300,16,-1,3,1
51.957,64.96,49.171,59.678,49.171,57.697,0.002,1e-07,0.5,300,16,-1,3,1
62.488,67.125,52.455,59.149,52.455,58.304,0.002,1e-08,0.5,300,16,-1,3,1
61.326,71.279,52.99,60.097,52.814,57.05,0.002,1e-09,0.5,300,16,-1,3,1
57.689,62.02,53.751,60.004,53.194,59.2,0.003,0.0,0.5,300,16,-1,3,1
54.23,69.729,47.728,57.387,47.728,54.723,0.003,1e-06,0.5,300,16,-1,3,1
61.728,67.962,46.147,58.802,46.147,57.693,0.003,1e-07,0.5,300,16,-1,3,1
62.391,67.73,51.643,58.597,48.332,57.859,0.003,1e-08,0.5,300,16,-1,3,1
63.032,66.321,51.159,60.056,50.208,59.99,0.003,1e-09,0.5,300,16,-1,3,1
58.624,66.019,50.487,59.231,49.733,58.222,0.004,0.0,0.5,300,16,-1,3,1
49.943,65.153,45.623,58.917,45.478,57.88,0.004,1e-06,0.5,300,16,-1,3,1
48.213,40.961,44.286,57.79,43.633,57.264,0.004,1e-07,0.5,300,16,-1,3,1
57.857,67.82,48.386,58.772,48.386,58.667,0.004,1e-08,0.5,300,16,-1,3,1
58.938,67.576,50.428,60.031,50.428,56.683,0.004,1e-09,0.5,300,16,-1,3,1
66.206,68.969,51.629,59.121,49.407,57.877,0.005,0.0,0.5,300,16,-1,3,1
63.48,63.09,46.926,58.375,46.926,58.375,0.005,1e-06,0.5,300,16,-1,3,1
58.038,67.272,45.572,60.003,45.408,58.228,0.005,1e-07,0.5,300,16,-1,3,1
65.477,60.916,50.818,57.796,48.941,57.418,0.005,1e-08,0.5,300,16,-1,3,1
68.848,65.695,51.74,59.96,51.74,58.669,0.005,1e-09,0.5,300,16,-1,3,1
65.185,76.602,55.989,62.429,55.989,57.941,0.001,1e-08,0.1,300,16,-1,1,1
72.414,75.099,55.207,61.23,55.207,58.12,0.001,1e-08,0.1,300,16,-1,2,1
68.093,72.987,54.411,61.072,54.411,59.58,0.001,1e-08,0.1,300,16,-1,3,1
66.53,71.037,54.811,60.872,54.811,59.603,0.001,1e-08,0.1,300,16,-1,4,1
70.436,70.261,55.818,61.293,55.818,59.794,0.001,1e-08,0.1,300,16,-1,5,1
69.697,73.232,55.047,61.675,54.292,61.077,0.001,1e-08,0.2,300,16,-1,1,1
65.536,32.923,55.354,61.64,54.435,59.703,0.001,1e-08,0.2,300,16,-1,2,1
68.66,73.57,54.48,61.045,52.607,59.211,0.001,1e-08,0.2,300,16,-1,3,1
67.308,71.478,54.843,60.677,54.843,60.112,0.001,1e-08,0.2,300,16,-1,4,1
64.4,73.187,56.805,61.611,56.805,60.082,0.001,1e-08,0.3,300,16,-1,1,1
65.922,70.031,54.616,62.154,54.559,61.533,0.001,1e-08,0.2,300,16,-1,5,1
69.925,72.026,56.425,61.323,56.425,59.817,0.001,1e-08,0.3,300,16,-1,2,1
70.592,32.31,57.832,61.975,57.832,60.391,0.001,1e-08,0.3,300,16,-1,4,1
68.16,72.117,55.751,61.016,55.751,60.543,0.001,1e-08,0.3,300,16,-1,3,1
70.047,72.625,55.251,61.219,55.251,59.748,0.001,1e-08,0.3,300,16,-1,5,1
66.159,74.304,55.206,60.628,55.206,59.459,0.001,1e-08,0.4,300,16,-1,1,1
64.688,68.536,54.374,61.008,54.374,60.655,0.001,1e-08,0.4,300,16,-1,2,1
64.232,68.664,54.539,60.772,54.4,60.772,0.001,1e-08,0.4,300,16,-1,3,1
66.25,73.22,54.48,60.98,54.017,59.673,0.001,1e-08,0.4,300,16,-1,4,1
64.809,0.0,54.891,60.216,54.817,60.216,0.001,1e-08,0.4,300,16,-1,5,1
73.135,72.711,54.866,60.537,54.866,59.845,0.001,1e-08,0.5,300,16,-1,1,1
68.622,67.833,53.977,60.793,52.735,60.179,0.001,1e-08,0.5,300,16,-1,2,1
61.43,71.145,54.616,60.646,54.616,59.718,0.001,1e-08,0.5,300,16,-1,4,1
61.67,68.721,55.409,61.475,54.663,60.351,0.001,1e-08,0.5,300,16,-1,3,1
67.576,74.405,55.784,60.838,52.595,58.838,0.001,1e-08,0.1,300,16,-1,2,2
67.784,73.151,55.599,59.932,55.402,58.896,0.001,1e-08,0.1,300,16,-1,1,2
65.635,69.757,54.395,61.242,54.322,60.543,0.001,1e-08,0.5,300,16,-1,5,1
67.544,72.545,54.534,60.811,54.534,59.395,0.001,1e-08,0.1,300,16,-1,5,2
68.948,57.706,55.154,61.167,55.01,60.852,0.001,1e-08,0.1,300,16,-1,4,2
67.944,72.1,54.835,61.252,53.753,59.295,0.001,1e-08,0.1,300,16,-1,3,2
67.949,43.909,55.661,60.601,55.151,59.362,0.001,1e-08,0.2,300,16,-1,3,2
